#SampleID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Intercept	C(Advanced_Stage_label)[T.Local]	C(Advanced_Stage_label)[T.n.a]	C(Smoking_status)[T.Current]	C(Smoking_status)[T.Former]	C(Smoking_status)[T.Never]	C(Smoking_status)[T.current]
446403	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__	1.209884073	1.08546217	-2.463420756	-2.030913466	0.374195334	-1.077782776	-0.908093336
1060441	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__	1.774048205	-1.241457028	1.774156563	-1.817746275	0.370951649	-3.133416798	-2.294800642
990864	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Enhydrobacter	s__aerosaccus	-0.446285758	0.545250392	-1.126407035	1.123712345	0.548855957	1.829698596	-0.51284385
791738	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__	0.116825309	-0.465491099	-1.539787658	0.411848969	0.723077175	-1.54287782	-0.812144163
579141	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__	s__	1.034911867	-3.641815348	-0.417022415	0.08983267	0.722731259	-2.050887015	-1.629410627
246785	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__	-1.09772912	-0.046914918	3.130056254	-0.249011629	-0.090814593	-1.214173462	-0.019994381
4310396	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	s__	2.491980161	0.052358883	2.586688868	-1.806339138	0.221199152	1.074005533	5.028320191
403701	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Dialister	s__	0.130822506	0.977110611	2.395868055	-1.598861569	0.627559033	-2.725366738	-0.698398354
341460	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	s__	-0.932492409	-1.895554943	1.719607942	1.419136039	0.487436947	0.046678994	1.288181109
586458	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__	-1.197256241	-0.371963782	1.388657205	0.631934709	0.77878308	-0.25768533	3.159762141
4309301	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	-1.226618204	0.019406514	0.707270883	-0.246474498	0.532922801	-0.214580801	2.915455935
646549	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__	2.370779481	-3.499329729	-2.675285466	-1.527573937	2.051506695	0.975881669	-0.308827522
1078207	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	0.499456491	-0.540356679	-0.857284673	-0.665254348	-0.514005068	-1.082481768	2.073106048
217734	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__anginosus	0.488296594	-2.047706766	0.088316522	-1.29397785	0.184032616	-1.913944867	0.786765066
729513	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__	g__	s__	-0.574015055	1.183060424	-1.061247118	-1.385301464	-0.998160246	-2.283791211	-0.511317137
552576	k__Bacteria	p__Proteobacteria	c__	o__	f__	g__	s__	-0.487291012	-0.270274503	-1.151344307	-3.162002199	-0.717192176	-0.008249548	-0.528072837
535359	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__melaninogenica	0.821945872	-0.941615982	2.211098544	1.152653023	0.599965599	-0.552919772	3.794188378
1055322	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__	-0.291378293	0.941122668	0.003235571	0.9732211	0.016985533	1.717438284	-0.328579428
2259380	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	0.414078202	0.958110021	-1.861969359	0.237347073	-1.243717316	-2.464417842	-1.227713468
535901	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Dialister	s__	0.306350794	-0.346647663	2.380955092	0.541685588	-0.243395212	-2.183913615	-1.093265178
1099914	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Peptoniphilus	s__							
557100	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__	-0.478161965	-3.92452733	1.930356853	0.221793956	1.225966391	-1.061987307	-0.4719677
